,age,gender,district,Count
362,6,1,12,1575
363,6,2,12,1840
364,7,1,12,1880
365,7,2,12,2125
366,8,1,12,2225
367,8,2,12,2375
368,9,1,12,2665
369,9,2,12,3110
370,10,1,12,3145
371,10,2,12,3370
372,11,1,12,3285
373,11,2,12,3360
374,12,1,12,3145
375,12,2,12,3165
376,13,1,12,2145
377,13,2,12,2295
378,14,1,12,1465
379,14,2,12,1635
380,15,1,12,890
381,15,2,12,1195
382,16,1,12,610
383,16,2,12,1200
384,1,1,13,5295
385,1,2,13,5050
386,2,1,13,2040
387,2,2,13,1960
388,3,1,13,1835
389,3,2,13,1740
390,4,1,13,1565
391,4,2,13,1570
392,5,1,13,1620
393,5,2,13,1755
394,6,1,13,1860
395,6,2,13,1960
396,7,1,13,2040
397,7,2,13,2250
398,8,1,13,2235
399,8,2,13,2435
400,9,1,13,2845
401,9,2,13,2980
402,10,1,13,3050
403,10,2,13,3280
404,11,1,13,3015
405,11,2,13,3200
406,12,1,13,2815
407,12,2,13,2970
408,13,1,13,2020
409,13,2,13,2010
410,14,1,13,1290
411,14,2,13,1470
412,15,1,13,775
413,15,2,13,1075
414,16,1,13,620
415,16,2,13,1325
416,1,1,14,5840
417,1,2,14,5780
418,2,1,14,2360
419,2,2,14,2185
420,3,1,14,2030
421,3,2,14,2035
422,4,1,14,1795
423,4,2,14,1935
424,5,1,14,1830
425,5,2,14,2055
426,6,1,14,1905
427,6,2,14,2160
428,7,1,14,2315
429,7,2,14,2530
430,8,1,14,2600
431,8,2,14,2705
432,9,1,14,3220
433,9,2,14,3375
434,10,1,14,3270
435,10,2,14,3545
436,11,1,14,3220
437,11,2,14,3350
438,12,1,14,3000
439,12,2,14,3125
440,13,1,14,2220
441,13,2,14,2315
442,14,1,14,1520
443,14,2,14,1765
444,15,1,14,980
445,15,2,14,1255
446,16,1,14,795
447,16,2,14,1560
448,1,1,15,6750
449,1,2,15,6700
450,2,1,15,2460
451,2,2,15,2420
452,3,1,15,2900
453,3,2,15,2885
454,4,1,15,3130
455,4,2,15,3085
456,5,1,15,2930
457,5,2,15,3170
458,6,1,15,2865
459,6,2,15,3075
460,7,1,15,2745
461,7,2,15,3135
462,8,1,15,2870
463,8,2,15,3310
464,9,1,15,3810
465,9,2,15,4020
466,10,1,15,3675
467,10,2,15,4030
468,11,1,15,3065
469,11,2,15,3500
470,12,1,15,2580
471,12,2,15,2885
472,13,1,15,1705
473,13,2,15,2020
474,14,1,15,1195
475,14,2,15,1550
476,15,1,15,860
477,15,2,15,1195
478,16,1,15,590
479,16,2,15,1205
480,1,1,16,5620
481,1,2,16,5370
482,2,1,16,2260
483,2,2,16,2330
484,3,1,16,5755
485,3,2,16,6125
486,4,1,16,5680
487,4,2,16,5305
488,5,1,16,3955
489,5,2,16,3765
490,6,1,16,2760
491,6,2,16,2905
492,7,1,16,2505
493,7,2,16,2670
494,8,1,16,2550
495,8,2,16,2685
496,9,1,16,2915
497,9,2,16,3165
498,10,1,16,2880
499,10,2,16,3200
500,11,1,16,2725
501,11,2,16,2980
502,12,1,16,2245
503,12,2,16,2640
504,13,1,16,1455
505,13,2,16,1700
506,14,1,16,980
507,14,2,16,1325
508,15,1,16,715
509,15,2,16,1155
510,16,1,16,725
511,16,2,16,1565
512,1,1,17,8160
513,1,2,17,7730
514,2,1,17,2830
515,2,2,17,2750
516,3,1,17,3265
517,3,2,17,3315
518,4,1,17,3520
519,4,2,17,3650
520,5,1,17,3325
521,5,2,17,3500
522,6,1,17,3055
523,6,2,17,3405
524,7,1,17,3265
525,7,2,17,3550
526,8,1,17,3240
527,8,2,17,3640
528,9,1,17,3635
529,9,2,17,3965
530,10,1,17,3210
531,10,2,17,3385
532,11,1,17,2415
533,11,2,17,2935
534,12,1,17,2205
535,12,2,17,2660
536,13,1,17,1610
537,13,2,17,1980
538,14,1,17,1115
539,14,2,17,1395
540,15,1,17,770
541,15,2,17,1050
542,16,1,17,560
543,16,2,17,1170
544,1,1,18,6670
545,1,2,18,6360
546,2,1,18,2615
547,2,2,18,2360
548,3,1,18,2245
549,3,2,18,2305
550,4,1,18,2025
551,4,2,18,2030
552,5,1,18,1960
553,5,2,18,2195
554,6,1,18,2205
555,6,2,18,2540
556,7,1,18,2480
557,7,2,18,2770
558,8,1,18,2850
559,8,2,18,3015
560,9,1,18,3400
561,9,2,18,3600
562,10,1,18,3420
563,10,2,18,3645
564,11,1,18,3110
565,11,2,18,3320
566,12,1,18,2815
567,12,2,18,2880
568,13,1,18,1875
569,13,2,18,2095
570,14,1,18,1370
571,14,2,18,1520
572,15,1,18,835
573,15,2,18,1100
574,16,1,18,605
575,16,2,18,1250
576,1,1,19,7725
577,1,2,19,7305
578,2,1,19,2770
579,2,2,19,2580
580,3,1,19,2370
581,3,2,19,2245
582,4,1,19,2235
583,4,2,19,2325
584,5,1,19,2495
585,5,2,19,2670
586,6,1,19,2685
587,6,2,19,3080
588,7,1,19,3180
589,7,2,19,3270
590,8,1,19,3220
591,8,2,19,3605
592,9,1,19,3910
593,9,2,19,4085
594,10,1,19,3465
595,10,2,19,3590
596,11,1,19,2780
597,11,2,19,2890
598,12,1,19,2385
599,12,2,19,2460
600,13,1,19,1600
601,13,2,19,1765
602,14,1,19,900
603,14,2,19,960
604,15,1,19,555
605,15,2,19,550
606,16,1,19,275
607,16,2,19,560
608,1,1,20,6320
609,1,2,20,5900
610,2,1,20,2470
611,2,2,20,2250
612,3,1,20,2005
613,3,2,20,1835
614,4,1,20,1860
615,4,2,20,1855
616,5,1,20,1940
617,5,2,20,2155
618,6,1,20,2210
619,6,2,20,2385
620,7,1,20,2740
621,7,2,20,2935
622,8,1,20,3200
623,8,2,20,3305
624,9,1,20,3950
625,9,2,20,4090
626,10,1,20,4210
627,10,2,20,4335
628,11,1,20,3855
629,11,2,20,4155
630,12,1,20,3795
631,12,2,20,3920
632,13,1,20,2750
633,13,2,20,2725
634,14,1,20,1765
635,14,2,20,1910
636,15,1,20,1125
637,15,2,20,1425
638,16,1,20,875
639,16,2,20,1590
640,1,1,21,5265
641,1,2,21,5145
642,2,1,21,2055
643,2,2,21,1965
644,3,1,21,2055
645,3,2,21,2025
646,4,1,21,1805
647,4,2,21,1855
648,5,1,21,1640
649,5,2,21,1790
650,6,1,21,1550
651,6,2,21,1975
652,7,1,21,1815
653,7,2,21,2160
654,8,1,21,2100
655,8,2,21,2295
656,9,1,21,2745
657,9,2,21,3085
658,10,1,21,3015
659,10,2,21,3375
660,11,1,21,2980
661,11,2,21,3110
662,12,1,21,2625
663,12,2,21,2830
664,13,1,21,1775
665,13,2,21,2075
666,14,1,21,1300
667,14,2,21,1635
668,15,1,21,830
669,15,2,21,1185
670,16,1,21,650
671,16,2,21,1445
672,1,1,22,5705
673,1,2,22,5470
674,2,1,22,2345
675,2,2,22,2245
676,3,1,22,1855
677,3,2,22,1765
678,4,1,22,1735
679,4,2,22,1830
680,5,1,22,1930
681,5,2,22,1985
682,6,1,22,1900
683,6,2,22,2130
684,7,1,22,2280
685,7,2,22,2410
686,8,1,22,2630
687,8,2,22,2800
688,9,1,22,3525
689,9,2,22,3595
690,10,1,22,3585
691,10,2,22,3820
692,11,1,22,3280
693,11,2,22,3430
694,12,1,22,3210
695,12,2,22,3380
696,13,1,22,2375
697,13,2,22,2500
698,14,1,22,1605
699,14,2,22,1865
700,15,1,22,1090
701,15,2,22,1310
702,16,1,22,835
703,16,2,22,1630
704,1,1,23,4595
705,1,2,23,4310
706,2,1,23,1925
707,2,2,23,1795
708,3,1,23,1825
709,3,2,23,1665
710,4,1,23,1615
711,4,2,23,1550
712,5,1,23,1710
713,5,2,23,1795
714,6,1,23,2010
715,6,2,23,2110
716,7,1,23,2325
717,7,2,23,2445
718,8,1,23,2775
719,8,2,23,2875
720,9,1,23,3460
721,9,2,23,3545
722,10,1,23,3685
723,10,2,23,3775
724,11,1,23,3570
725,11,2,23,3700
726,12,1,23,3265
727,12,2,23,3330
728,13,1,23,2370
729,13,2,23,2315
730,14,1,23,1560
731,14,2,23,1645
732,15,1,23,1010
733,15,2,23,1155
734,16,1,23,720
735,16,2,23,1380
736,1,1,24,6005
737,1,2,24,5620
738,2,1,24,2045
739,2,2,24,1850
740,3,1,24,1965
741,3,2,24,1690
742,4,1,24,1930
743,4,2,24,1860
744,5,1,24,2300
745,5,2,24,2435
746,6,1,24,2655
747,6,2,24,2690
748,7,1,24,2755
749,7,2,24,2830
750,8,1,24,2900
751,8,2,24,2840
752,9,1,24,3440
753,9,2,24,3380
754,10,1,24,3515
755,10,2,24,3570
756,11,1,24,3485
757,11,2,24,3590
758,12,1,24,3150
759,12,2,24,3050
760,13,1,24,2170
761,13,2,24,2015
762,14,1,24,1385
763,14,2,24,1430
764,15,1,24,775
765,15,2,24,1130
766,16,1,24,635
767,16,2,24,1210
768,1,1,25,6850
769,1,2,25,6580
770,2,1,25,2475
771,2,2,25,2350
772,3,1,25,3705
773,3,2,25,3340
774,4,1,25,3315
775,4,2,25,2980
776,5,1,25,2880
777,5,2,25,2780
778,6,1,25,2630
779,6,2,25,2730
780,7,1,25,2595
781,7,2,25,2850
782,8,1,25,2650
783,8,2,25,2805
784,9,1,25,2875
785,9,2,25,3005
786,10,1,25,2630
787,10,2,25,2820
788,11,1,25,2220
789,11,2,25,2625
790,12,1,25,2100
791,12,2,25,2370
792,13,1,25,1470
793,13,2,25,1740
794,14,1,25,1120
795,14,2,25,1335
796,15,1,25,720
797,15,2,25,1025
798,16,1,25,560
799,16,2,25,1190
800,1,1,26,6925
801,1,2,26,6815
802,2,1,26,2715
803,2,2,26,2465
804,3,1,26,1995
805,3,2,26,1855
806,4,1,26,1735
807,4,2,26,1785
808,5,1,26,2015
809,5,2,26,2210
810,6,1,26,2320
811,6,2,26,2565
812,7,1,26,2705
813,7,2,26,2915
814,8,1,26,2865
815,8,2,26,2930
816,9,1,26,3180
817,9,2,26,3430
818,10,1,26,3080
819,10,2,26,3190
820,11,1,26,2940
821,11,2,26,3065
822,12,1,26,2775
823,12,2,26,2790
824,13,1,26,1825
825,13,2,26,1805
826,14,1,26,1135
827,14,2,26,1160
828,15,1,26,630
829,15,2,26,770
830,16,1,26,450
831,16,2,26,920
832,1,1,27,3895
833,1,2,27,3730
834,2,1,27,1450
835,2,2,27,1420
836,3,1,27,1420
837,3,2,27,1340
838,4,1,27,1315
839,4,2,27,1290
840,5,1,27,1385
841,5,2,27,1460
842,6,1,27,1560
843,6,2,27,1600
844,7,1,27,1710
845,7,2,27,1745
846,8,1,27,1920
847,8,2,27,2035
848,9,1,27,2675
849,9,2,27,2770
850,10,1,27,3030
851,10,2,27,3040
852,11,1,27,2700
853,11,2,27,2770
854,12,1,27,2465
855,12,2,27,2505
856,13,1,27,1660
857,13,2,27,1745
858,14,1,27,1065
859,14,2,27,1300
860,15,1,27,735
861,15,2,27,1050
862,16,1,27,540
863,16,2,27,1075
864,1,1,28,3985
865,1,2,28,3780
866,2,1,28,1635
867,2,2,28,1565
868,3,1,28,1470
869,3,2,28,1320
870,4,1,28,1250
871,4,2,28,1175
872,5,1,28,1195
873,5,2,28,1345
874,6,1,28,1430
875,6,2,28,1475
876,7,1,28,1770
877,7,2,28,1880
878,8,1,28,1960
879,8,2,28,2070
880,9,1,28,2360
881,9,2,28,2525
882,10,1,28,2490
883,10,2,28,2570
884,11,1,28,2390
885,11,2,28,2610
886,12,1,28,2330
887,12,2,28,2300
888,13,1,28,1620
889,13,2,28,1535
890,14,1,28,1115
891,14,2,28,1255
892,15,1,28,715
893,15,2,28,870
894,16,1,28,480
895,16,2,28,950
896,1,1,29,7075
897,1,2,29,6745
898,2,1,29,2390
899,2,2,29,2370
900,3,1,29,3145
901,3,2,29,3375
902,4,1,29,3165
903,4,2,29,3280
904,5,1,29,3085
905,5,2,29,3200
906,6,1,29,2980
907,6,2,29,3110
908,7,1,29,3010
909,7,2,29,3275
910,8,1,29,3010
911,8,2,29,3050
912,9,1,29,3285
913,9,2,29,3530
914,10,1,29,3095
915,10,2,29,3395
916,11,1,29,2810
917,11,2,29,3090
918,12,1,29,2460
919,12,2,29,2890
920,13,1,29,1770
921,13,2,29,2200
922,14,1,29,1305
923,14,2,29,1630
924,15,1,29,925
925,15,2,29,1370
926,16,1,29,860
927,16,2,29,1765
928,1,1,30,5215
929,1,2,30,5100
930,2,1,30,1905
931,2,2,30,1785
932,3,1,30,1670
933,3,2,30,1470
934,4,1,30,1495
935,4,2,30,1580
936,5,1,30,1635
937,5,2,30,1765
938,6,1,30,1865
939,6,2,30,1985
940,7,1,30,2015
941,7,2,30,2130
942,8,1,30,2295
943,8,2,30,2280
944,9,1,30,2725
945,9,2,30,2885
946,10,1,30,2770
947,10,2,30,2775
948,11,1,30,2645
949,11,2,30,2715
950,12,1,30,2370
951,12,2,30,2295
952,13,1,30,1600
953,13,2,30,1545
954,14,1,30,1040
955,14,2,30,1090
956,15,1,30,565
957,15,2,30,750
958,16,1,30,455
959,16,2,30,865
960,1,1,31,6140
961,1,2,31,5925
962,2,1,31,2235
963,2,2,31,2120
964,3,1,31,2520
965,3,2,31,2495
966,4,1,31,2405
967,4,2,31,2430
968,5,1,31,2235
969,5,2,31,2440
970,6,1,31,2210
971,6,2,31,2510
972,7,1,31,2395
973,7,2,31,2635
974,8,1,31,2475
975,8,2,31,2810
976,9,1,31,3075
977,9,2,31,3320
978,10,1,31,2960
979,10,2,31,3360
980,11,1,31,2665
981,11,2,31,2945
982,12,1,31,2260
983,12,2,31,2575
984,13,1,31,1625
985,13,2,31,1915
986,14,1,31,1100
987,14,2,31,1465
988,15,1,31,815
989,15,2,31,1160
990,16,1,31,675
991,16,2,31,1485
992,1,1,32,5635
993,1,2,32,5575
994,2,1,32,2130
995,2,2,32,1985
996,3,1,32,1560
997,3,2,32,1625
998,4,1,32,1525
999,4,2,32,1570
1000,5,1,32,1710
1001,5,2,32,1940
1002,6,1,32,1945
1003,6,2,32,2070
1004,7,1,32,2230
1005,7,2,32,2205
1006,8,1,32,2345
1007,8,2,32,2410
1008,9,1,32,2720
1009,9,2,32,2865
1010,10,1,32,2955
1011,10,2,32,3040
1012,11,1,32,2740
1013,11,2,32,2780
1014,12,1,32,2425
1015,12,2,32,2470
1016,13,1,32,1590
1017,13,2,32,1545
1018,14,1,32,1015
1019,14,2,32,1160
1020,15,1,32,630
1021,15,2,32,855
1022,16,1,32,480
1023,16,2,32,920
1024,1,1,33,10240
1025,1,2,33,9610
1026,2,1,33,3110
1027,2,2,33,2895
1028,3,1,33,3130
1029,3,2,33,3035
1030,4,1,33,3085
1031,4,2,33,2950
1032,5,1,33,2870
1033,5,2,33,2735
1034,6,1,33,2805
1035,6,2,33,2710
1036,7,1,33,2680
1037,7,2,33,2600
1038,8,1,33,2650
1039,8,2,33,2565
1040,9,1,33,3245
1041,9,2,33,3110
1042,10,1,33,3215
1043,10,2,33,3045
1044,11,1,33,2560
1045,11,2,33,2420
1046,12,1,33,2020
1047,12,2,33,1860
1048,13,1,33,1330
1049,13,2,33,1415
1050,14,1,33,830
1051,14,2,33,920
1052,15,1,33,520
1053,15,2,33,705
1054,16,1,33,340
1055,16,2,33,575
1056,1,1,34,8930
1057,1,2,34,8595
1058,2,1,34,2935
1059,2,2,34,2770
1060,3,1,34,3065
1061,3,2,34,2830
1062,4,1,34,3050
1063,4,2,34,2805
1064,5,1,34,3110
1065,5,2,34,2960
1066,6,1,34,3120
1067,6,2,34,3085
1068,7,1,34,2990
1069,7,2,34,2830
1070,8,1,34,3070
1071,8,2,34,3090
1072,9,1,34,4155
1073,9,2,34,4085
1074,10,1,34,4650
1075,10,2,34,4520
1076,11,1,34,4105
1077,11,2,34,3870
1078,12,1,34,3255
1079,12,2,34,3150
1080,13,1,34,2355
1081,13,2,34,2380
1082,14,1,34,1505
1083,14,2,34,1730
1084,15,1,34,995
1085,15,2,34,1300
1086,16,1,34,725
1087,16,2,34,1455
1088,1,1,35,10185
1089,1,2,35,9755
1090,2,1,35,2845
1091,2,2,35,2860
1092,3,1,35,3375
1093,3,2,35,3550
1094,4,1,35,3690
1095,4,2,35,4020
1096,5,1,35,4165
1097,5,2,35,4445
1098,6,1,35,4595
1099,6,2,35,4330
1100,7,1,35,4280
1101,7,2,35,3950
1102,8,1,35,4090
1103,8,2,35,3565
1104,9,1,35,3955
1105,9,2,35,3710
1106,10,1,35,3715
1107,10,2,35,3770
1108,11,1,35,3010
1109,11,2,35,3425
1110,12,1,35,2535
1111,12,2,35,3030
1112,13,1,35,1890
1113,13,2,35,2640
1114,14,1,35,1540
1115,14,2,35,2360
1116,15,1,35,1395
1117,15,2,35,2325
1118,16,1,35,1285
1119,16,2,35,3130
1120,1,1,36,8635
1121,1,2,36,8305
1122,2,1,36,3320
1123,2,2,36,3010
1124,3,1,36,3385
1125,3,2,36,3335
1126,4,1,36,2685
1127,4,2,36,2720
1128,5,1,36,2565
1129,5,2,36,2765
1130,6,1,36,2810
1131,6,2,36,3100
1132,7,1,36,3155
1133,7,2,36,3420
1134,8,1,36,3640
1135,8,2,36,3810
1136,9,1,36,4225
1137,9,2,36,4195
1138,10,1,36,3995
1139,10,2,36,4105
1140,11,1,36,3095
1141,11,2,36,3345
1142,12,1,36,2525
1143,12,2,36,2625
1144,13,1,36,1915
1145,13,2,36,2260
1146,14,1,36,1510
1147,14,2,36,1830
1148,15,1,36,1215
1149,15,2,36,1570
1150,16,1,36,825
1151,16,2,36,1475
1152,1,1,37,7535
1153,1,2,37,7140
1154,2,1,37,2455
1155,2,2,37,2335
1156,3,1,37,2390
1157,3,2,37,2260
1158,4,1,37,2450
1159,4,2,37,2530
1160,5,1,37,2545
1161,5,2,37,2545
1162,6,1,37,2615
1163,6,2,37,2680
1164,7,1,37,2730
1165,7,2,37,2675
1166,8,1,37,3010
1167,8,2,37,3125
1168,9,1,37,4150
1169,9,2,37,4085
1170,10,1,37,4355
1171,10,2,37,4505
1172,11,1,37,4185
1173,11,2,37,4055
1174,12,1,37,3690
1175,12,2,37,3405
1176,13,1,37,2690
1177,13,2,37,2585
1178,14,1,37,1545
1179,14,2,37,1630
1180,15,1,37,950
1181,15,2,37,1080
1182,16,1,37,650
1183,16,2,37,1210
1184,1,1,38,5305
