,age,gender,district,Count
451,1,1,16,5370
452,2,0,16,2260
453,2,1,16,2330
454,3,0,16,5755
455,3,1,16,6125
456,4,0,16,5680
457,4,1,16,5305
458,5,0,16,3955
459,5,1,16,3765
460,6,0,16,2760
461,6,1,16,2905
462,7,0,16,2505
463,7,1,16,2670
464,8,0,16,2550
465,8,1,16,2685
466,9,0,16,2915
467,9,1,16,3165
468,10,0,16,2880
469,10,1,16,3200
470,11,0,16,2725
471,11,1,16,2980
472,12,0,16,2245
473,12,1,16,2640
474,13,0,16,1455
475,13,1,16,1700
476,14,0,16,980
477,14,1,16,1325
478,15,0,16,715
479,15,1,16,1155
480,1,0,17,8160
481,1,1,17,7730
482,2,0,17,2830
483,2,1,17,2750
484,3,0,17,3265
485,3,1,17,3315
486,4,0,17,3520
487,4,1,17,3650
488,5,0,17,3325
489,5,1,17,3500
490,6,0,17,3055
491,6,1,17,3405
492,7,0,17,3265
493,7,1,17,3550
494,8,0,17,3240
495,8,1,17,3640
496,9,0,17,3635
497,9,1,17,3965
498,10,0,17,3210
499,10,1,17,3385
500,11,0,17,2415
501,11,1,17,2935
502,12,0,17,2205
503,12,1,17,2660
504,13,0,17,1610
505,13,1,17,1980
506,14,0,17,1115
507,14,1,17,1395
508,15,0,17,770
509,15,1,17,1050
510,1,0,18,6670
511,1,1,18,6360
512,2,0,18,2615
513,2,1,18,2360
514,3,0,18,2245
515,3,1,18,2305
516,4,0,18,2025
517,4,1,18,2030
518,5,0,18,1960
519,5,1,18,2195
520,6,0,18,2205
521,6,1,18,2540
522,7,0,18,2480
523,7,1,18,2770
524,8,0,18,2850
525,8,1,18,3015
526,9,0,18,3400
527,9,1,18,3600
528,10,0,18,3420
529,10,1,18,3645
530,11,0,18,3110
531,11,1,18,3320
532,12,0,18,2815
533,12,1,18,2880
534,13,0,18,1875
535,13,1,18,2095
536,14,0,18,1370
537,14,1,18,1520
538,15,0,18,835
539,15,1,18,1100
540,1,0,19,7725
541,1,1,19,7305
542,2,0,19,2770
543,2,1,19,2580
544,3,0,19,2370
545,3,1,19,2245
546,4,0,19,2235
547,4,1,19,2325
548,5,0,19,2495
549,5,1,19,2670
550,6,0,19,2685
551,6,1,19,3080
552,7,0,19,3180
553,7,1,19,3270
554,8,0,19,3220
555,8,1,19,3605
556,9,0,19,3910
557,9,1,19,4085
558,10,0,19,3465
559,10,1,19,3590
560,11,0,19,2780
561,11,1,19,2890
562,12,0,19,2385
563,12,1,19,2460
564,13,0,19,1600
565,13,1,19,1765
566,14,0,19,900
567,14,1,19,960
568,15,0,19,555
569,15,1,19,550
570,1,0,20,6320
571,1,1,20,5900
572,2,0,20,2470
573,2,1,20,2250
574,3,0,20,2005
575,3,1,20,1835
576,4,0,20,1860
577,4,1,20,1855
578,5,0,20,1940
579,5,1,20,2155
580,6,0,20,2210
581,6,1,20,2385
582,7,0,20,2740
583,7,1,20,2935
584,8,0,20,3200
585,8,1,20,3305
586,9,0,20,3950
587,9,1,20,4090
588,10,0,20,4210
589,10,1,20,4335
590,11,0,20,3855
591,11,1,20,4155
592,12,0,20,3795
593,12,1,20,3920
594,13,0,20,2750
595,13,1,20,2725
596,14,0,20,1765
597,14,1,20,1910
598,15,0,20,1125
599,15,1,20,1425
600,1,0,21,5265
601,1,1,21,5145
602,2,0,21,2055
603,2,1,21,1965
604,3,0,21,2055
605,3,1,21,2025
606,4,0,21,1805
607,4,1,21,1855
608,5,0,21,1640
609,5,1,21,1790
610,6,0,21,1550
611,6,1,21,1975
612,7,0,21,1815
613,7,1,21,2160
614,8,0,21,2100
615,8,1,21,2295
616,9,0,21,2745
617,9,1,21,3085
618,10,0,21,3015
619,10,1,21,3375
620,11,0,21,2980
621,11,1,21,3110
622,12,0,21,2625
623,12,1,21,2830
624,13,0,21,1775
625,13,1,21,2075
626,14,0,21,1300
627,14,1,21,1635
628,15,0,21,830
629,15,1,21,1185
630,1,0,22,5705
631,1,1,22,5470
632,2,0,22,2345
633,2,1,22,2245
634,3,0,22,1855
635,3,1,22,1765
636,4,0,22,1735
637,4,1,22,1830
638,5,0,22,1930
639,5,1,22,1985
640,6,0,22,1900
641,6,1,22,2130
642,7,0,22,2280
643,7,1,22,2410
644,8,0,22,2630
645,8,1,22,2800
646,9,0,22,3525
647,9,1,22,3595
648,10,0,22,3585
649,10,1,22,3820
650,11,0,22,3280
651,11,1,22,3430
652,12,0,22,3210
653,12,1,22,3380
654,13,0,22,2375
655,13,1,22,2500
656,14,0,22,1605
657,14,1,22,1865
658,15,0,22,1090
659,15,1,22,1310
660,1,0,23,4595
661,1,1,23,4310
662,2,0,23,1925
663,2,1,23,1795
664,3,0,23,1825
665,3,1,23,1665
666,4,0,23,1615
667,4,1,23,1550
668,5,0,23,1710
669,5,1,23,1795
670,6,0,23,2010
671,6,1,23,2110
672,7,0,23,2325
673,7,1,23,2445
674,8,0,23,2775
675,8,1,23,2875
676,9,0,23,3460
677,9,1,23,3545
678,10,0,23,3685
679,10,1,23,3775
680,11,0,23,3570
681,11,1,23,3700
682,12,0,23,3265
683,12,1,23,3330
684,13,0,23,2370
685,13,1,23,2315
686,14,0,23,1560
687,14,1,23,1645
688,15,0,23,1010
689,15,1,23,1155
690,1,0,24,6005
691,1,1,24,5620
692,2,0,24,2045
693,2,1,24,1850
694,3,0,24,1965
695,3,1,24,1690
696,4,0,24,1930
697,4,1,24,1860
698,5,0,24,2300
699,5,1,24,2435
700,6,0,24,2655
701,6,1,24,2690
702,7,0,24,2755
703,7,1,24,2830
704,8,0,24,2900
705,8,1,24,2840
706,9,0,24,3440
707,9,1,24,3380
708,10,0,24,3515
709,10,1,24,3570
710,11,0,24,3485
711,11,1,24,3590
712,12,0,24,3150
713,12,1,24,3050
714,13,0,24,2170
715,13,1,24,2015
716,14,0,24,1385
717,14,1,24,1430
718,15,0,24,775
719,15,1,24,1130
720,1,0,25,6850
721,1,1,25,6580
722,2,0,25,2475
723,2,1,25,2350
724,3,0,25,3705
725,3,1,25,3340
726,4,0,25,3315
727,4,1,25,2980
728,5,0,25,2880
729,5,1,25,2780
730,6,0,25,2630
731,6,1,25,2730
732,7,0,25,2595
733,7,1,25,2850
734,8,0,25,2650
735,8,1,25,2805
736,9,0,25,2875
737,9,1,25,3005
738,10,0,25,2630
739,10,1,25,2820
740,11,0,25,2220
741,11,1,25,2625
742,12,0,25,2100
743,12,1,25,2370
744,13,0,25,1470
745,13,1,25,1740
746,14,0,25,1120
747,14,1,25,1335
748,15,0,25,720
749,15,1,25,1025
750,1,0,26,6925
751,1,1,26,6815
752,2,0,26,2715
753,2,1,26,2465
754,3,0,26,1995
755,3,1,26,1855
756,4,0,26,1735
757,4,1,26,1785
758,5,0,26,2015
759,5,1,26,2210
760,6,0,26,2320
761,6,1,26,2565
762,7,0,26,2705
763,7,1,26,2915
764,8,0,26,2865
765,8,1,26,2930
766,9,0,26,3180
767,9,1,26,3430
768,10,0,26,3080
769,10,1,26,3190
770,11,0,26,2940
771,11,1,26,3065
772,12,0,26,2775
773,12,1,26,2790
774,13,0,26,1825
775,13,1,26,1805
776,14,0,26,1135
777,14,1,26,1160
778,15,0,26,630
779,15,1,26,770
780,1,0,27,3895
781,1,1,27,3730
782,2,0,27,1450
783,2,1,27,1420
784,3,0,27,1420
785,3,1,27,1340
786,4,0,27,1315
787,4,1,27,1290
788,5,0,27,1385
789,5,1,27,1460
790,6,0,27,1560
791,6,1,27,1600
792,7,0,27,1710
793,7,1,27,1745
794,8,0,27,1920
795,8,1,27,2035
796,9,0,27,2675
797,9,1,27,2770
798,10,0,27,3030
799,10,1,27,3040
800,11,0,27,2700
801,11,1,27,2770
802,12,0,27,2465
803,12,1,27,2505
804,13,0,27,1660
805,13,1,27,1745
806,14,0,27,1065
807,14,1,27,1300
808,15,0,27,735
809,15,1,27,1050
810,1,0,28,3985
811,1,1,28,3780
812,2,0,28,1635
813,2,1,28,1565
814,3,0,28,1470
815,3,1,28,1320
816,4,0,28,1250
817,4,1,28,1175
818,5,0,28,1195
819,5,1,28,1345
820,6,0,28,1430
821,6,1,28,1475
822,7,0,28,1770
823,7,1,28,1880
824,8,0,28,1960
825,8,1,28,2070
826,9,0,28,2360
827,9,1,28,2525
828,10,0,28,2490
829,10,1,28,2570
830,11,0,28,2390
831,11,1,28,2610
832,12,0,28,2330
833,12,1,28,2300
834,13,0,28,1620
835,13,1,28,1535
836,14,0,28,1115
837,14,1,28,1255
838,15,0,28,715
839,15,1,28,870
840,1,0,29,7075
841,1,1,29,6745
842,2,0,29,2390
843,2,1,29,2370
844,3,0,29,3145
845,3,1,29,3375
846,4,0,29,3165
847,4,1,29,3280
848,5,0,29,3085
849,5,1,29,3200
850,6,0,29,2980
851,6,1,29,3110
852,7,0,29,3010
853,7,1,29,3275
854,8,0,29,3010
855,8,1,29,3050
856,9,0,29,3285
857,9,1,29,3530
858,10,0,29,3095
859,10,1,29,3395
860,11,0,29,2810
861,11,1,29,3090
862,12,0,29,2460
863,12,1,29,2890
864,13,0,29,1770
865,13,1,29,2200
866,14,0,29,1305
867,14,1,29,1630
868,15,0,29,925
869,15,1,29,1370
870,1,0,30,5215
871,1,1,30,5100
872,2,0,30,1905
873,2,1,30,1785
874,3,0,30,1670
875,3,1,30,1470
876,4,0,30,1495
877,4,1,30,1580
878,5,0,30,1635
879,5,1,30,1765
880,6,0,30,1865
881,6,1,30,1985
882,7,0,30,2015
883,7,1,30,2130
884,8,0,30,2295
885,8,1,30,2280
886,9,0,30,2725
887,9,1,30,2885
888,10,0,30,2770
889,10,1,30,2775
890,11,0,30,2645
891,11,1,30,2715
892,12,0,30,2370
893,12,1,30,2295
894,13,0,30,1600
895,13,1,30,1545
896,14,0,30,1040
897,14,1,30,1090
898,15,0,30,565
899,15,1,30,750
900,1,0,31,6140
901,1,1,31,5925
902,2,0,31,2235
903,2,1,31,2120
904,3,0,31,2520
905,3,1,31,2495
906,4,0,31,2405
907,4,1,31,2430
908,5,0,31,2235
909,5,1,31,2440
910,6,0,31,2210
911,6,1,31,2510
912,7,0,31,2395
913,7,1,31,2635
914,8,0,31,2475
915,8,1,31,2810
916,9,0,31,3075
917,9,1,31,3320
918,10,0,31,2960
919,10,1,31,3360
920,11,0,31,2665
921,11,1,31,2945
922,12,0,31,2260
923,12,1,31,2575
924,13,0,31,1625
925,13,1,31,1915
926,14,0,31,1100
927,14,1,31,1465
928,15,0,31,815
929,15,1,31,1160
930,1,0,32,5635
931,1,1,32,5575
932,2,0,32,2130
933,2,1,32,1985
934,3,0,32,1560
935,3,1,32,1625
936,4,0,32,1525
937,4,1,32,1570
938,5,0,32,1710
939,5,1,32,1940
940,6,0,32,1945
941,6,1,32,2070
942,7,0,32,2230
943,7,1,32,2205
944,8,0,32,2345
945,8,1,32,2410
946,9,0,32,2720
947,9,1,32,2865
948,10,0,32,2955
949,10,1,32,3040
950,11,0,32,2740
951,11,1,32,2780
952,12,0,32,2425
953,12,1,32,2470
954,13,0,32,1590
955,13,1,32,1545
956,14,0,32,1015
957,14,1,32,1160
958,15,0,32,630
959,15,1,32,855
960,1,0,33,10240
961,1,1,33,9610
962,2,0,33,3110
963,2,1,33,2895
964,3,0,33,3130
965,3,1,33,3035
966,4,0,33,3085
967,4,1,33,2950
968,5,0,33,2870
969,5,1,33,2735
970,6,0,33,2805
971,6,1,33,2710
972,7,0,33,2680
973,7,1,33,2600
974,8,0,33,2650
975,8,1,33,2565
976,9,0,33,3245
977,9,1,33,3110
978,10,0,33,3215
979,10,1,33,3045
980,11,0,33,2560
981,11,1,33,2420
982,12,0,33,2020
983,12,1,33,1860
984,13,0,33,1330
985,13,1,33,1415
986,14,0,33,830
987,14,1,33,920
988,15,0,33,520
989,15,1,33,705
990,1,0,34,8930
991,1,1,34,8595
992,2,0,34,2935
993,2,1,34,2770
994,3,0,34,3065
995,3,1,34,2830
996,4,0,34,3050
997,4,1,34,2805
998,5,0,34,3110
999,5,1,34,2960
1000,6,0,34,3120
1001,6,1,34,3085
