,District,Age,Sex,Count
430,12,7,1,1880
431,12,7,2,2125
432,12,8,1,2225
433,12,8,2,2375
434,12,9,1,2665
435,12,9,2,3110
436,12,10,1,3145
437,12,10,2,3370
438,12,11,1,3285
439,12,11,2,3360
440,12,12,1,3145
441,12,12,2,3165
442,12,13,1,2145
443,12,13,2,2295
444,12,14,1,1465
445,12,14,2,1635
446,12,15,1,890
447,12,15,2,1195
448,12,16,1,425
449,12,16,2,685
450,12,17,1,150
451,12,17,2,385
452,12,18,1,30
453,12,18,2,120
454,12,19,1,5
455,12,19,2,10
456,13,1,1,5295
457,13,1,2,5050
458,13,2,1,2040
459,13,2,2,1960
460,13,3,1,1835
461,13,3,2,1740
462,13,4,1,1565
463,13,4,2,1570
464,13,5,1,1620
465,13,5,2,1755
466,13,6,1,1860
467,13,6,2,1960
468,13,7,1,2040
469,13,7,2,2250
470,13,8,1,2235
471,13,8,2,2435
472,13,9,1,2845
473,13,9,2,2980
474,13,10,1,3050
475,13,10,2,3280
476,13,11,1,3015
477,13,11,2,3200
478,13,12,1,2815
479,13,12,2,2970
480,13,13,1,2020
481,13,13,2,2010
482,13,14,1,1290
483,13,14,2,1470
484,13,15,1,775
485,13,15,2,1075
486,13,16,1,430
487,13,16,2,790
488,13,17,1,145
489,13,17,2,390
490,13,18,1,35
491,13,18,2,130
492,13,19,1,10
493,13,19,2,20
494,14,1,1,5840
495,14,1,2,5780
496,14,2,1,2360
497,14,2,2,2185
498,14,3,1,2030
499,14,3,2,2035
500,14,4,1,1795
501,14,4,2,1935
502,14,5,1,1830
503,14,5,2,2055
504,14,6,1,1905
505,14,6,2,2160
506,14,7,1,2315
507,14,7,2,2530
508,14,8,1,2600
509,14,8,2,2705
510,14,9,1,3220
511,14,9,2,3375
512,14,10,1,3270
513,14,10,2,3545
514,14,11,1,3220
515,14,11,2,3350
516,14,12,1,3000
517,14,12,2,3125
518,14,13,1,2220
519,14,13,2,2315
520,14,14,1,1520
521,14,14,2,1765
522,14,15,1,980
523,14,15,2,1255
524,14,16,1,540
525,14,16,2,895
526,14,17,1,205
527,14,17,2,480
528,14,18,1,45
529,14,18,2,165
530,14,19,1,0
531,14,19,2,20
532,15,1,1,6750
533,15,1,2,6700
534,15,2,1,2460
535,15,2,2,2420
536,15,3,1,2900
537,15,3,2,2885
538,15,4,1,3130
539,15,4,2,3085
540,15,5,1,2930
541,15,5,2,3170
542,15,6,1,2865
543,15,6,2,3075
544,15,7,1,2745
545,15,7,2,3135
546,15,8,1,2870
547,15,8,2,3310
548,15,9,1,3810
549,15,9,2,4020
550,15,10,1,3675
551,15,10,2,4030
552,15,11,1,3065
553,15,11,2,3500
554,15,12,1,2580
555,15,12,2,2885
556,15,13,1,1705
557,15,13,2,2020
558,15,14,1,1195
559,15,14,2,1550
560,15,15,1,860
561,15,15,2,1195
562,15,16,1,425
563,15,16,2,755
564,15,17,1,140
565,15,17,2,360
566,15,18,1,35
567,15,18,2,85
568,15,19,1,0
569,15,19,2,10
570,16,1,1,5620
571,16,1,2,5370
572,16,2,1,2260
573,16,2,2,2330
574,16,3,1,5755
575,16,3,2,6125
576,16,4,1,5680
577,16,4,2,5305
578,16,5,1,3955
579,16,5,2,3765
580,16,6,1,2760
581,16,6,2,2905
582,16,7,1,2505
583,16,7,2,2670
584,16,8,1,2550
585,16,8,2,2685
586,16,9,1,2915
587,16,9,2,3165
588,16,10,1,2880
589,16,10,2,3200
590,16,11,1,2725
591,16,11,2,2980
592,16,12,1,2245
593,16,12,2,2640
594,16,13,1,1455
595,16,13,2,1700
596,16,14,1,980
597,16,14,2,1325
598,16,15,1,715
599,16,15,2,1155
600,16,16,1,445
601,16,16,2,855
602,16,17,1,215
603,16,17,2,525
604,16,18,1,60
605,16,18,2,175
606,16,19,1,5
607,16,19,2,20
608,17,1,1,8160
609,17,1,2,7730
610,17,2,1,2830
611,17,2,2,2750
612,17,3,1,3265
613,17,3,2,3315
614,17,4,1,3520
615,17,4,2,3650
616,17,5,1,3325
617,17,5,2,3500
618,17,6,1,3055
619,17,6,2,3405
620,17,7,1,3265
621,17,7,2,3550
622,17,8,1,3240
623,17,8,2,3640
624,17,9,1,3635
625,17,9,2,3965
626,17,10,1,3210
627,17,10,2,3385
628,17,11,1,2415
629,17,11,2,2935
630,17,12,1,2205
631,17,12,2,2660
632,17,13,1,1610
633,17,13,2,1980
634,17,14,1,1115
635,17,14,2,1395
636,17,15,1,770
637,17,15,2,1050
638,17,16,1,385
639,17,16,2,670
640,17,17,1,145
641,17,17,2,365
642,17,18,1,30
643,17,18,2,125
644,17,19,1,0
645,17,19,2,15
646,18,1,1,6670
647,18,1,2,6360
648,18,2,1,2615
649,18,2,2,2360
650,18,3,1,2245
651,18,3,2,2305
652,18,4,1,2025
653,18,4,2,2030
654,18,5,1,1960
655,18,5,2,2195
656,18,6,1,2205
657,18,6,2,2540
658,18,7,1,2480
659,18,7,2,2770
660,18,8,1,2850
661,18,8,2,3015
662,18,9,1,3400
663,18,9,2,3600
664,18,10,1,3420
665,18,10,2,3645
666,18,11,1,3110
667,18,11,2,3320
668,18,12,1,2815
669,18,12,2,2880
670,18,13,1,1875
671,18,13,2,2095
672,18,14,1,1370
673,18,14,2,1520
674,18,15,1,835
675,18,15,2,1100
676,18,16,1,435
677,18,16,2,745
678,18,17,1,130
679,18,17,2,390
680,18,18,1,35
681,18,18,2,100
682,18,19,1,5
683,18,19,2,20
684,19,1,1,7725
685,19,1,2,7305
686,19,2,1,2770
687,19,2,2,2580
688,19,3,1,2370
689,19,3,2,2245
690,19,4,1,2235
691,19,4,2,2325
692,19,5,1,2495
693,19,5,2,2670
694,19,6,1,2685
695,19,6,2,3080
696,19,7,1,3180
697,19,7,2,3270
698,19,8,1,3220
699,19,8,2,3605
700,19,9,1,3910
701,19,9,2,4085
702,19,10,1,3465
703,19,10,2,3590
704,19,11,1,2780
705,19,11,2,2890
706,19,12,1,2385
707,19,12,2,2460
708,19,13,1,1600
709,19,13,2,1765
710,19,14,1,900
711,19,14,2,960
712,19,15,1,555
713,19,15,2,550
714,19,16,1,205
715,19,16,2,335
716,19,17,1,60
717,19,17,2,175
718,19,18,1,10
719,19,18,2,50
720,19,19,1,0
721,19,19,2,0
722,20,1,1,6320
723,20,1,2,5900
724,20,2,1,2470
725,20,2,2,2250
726,20,3,1,2005
727,20,3,2,1835
728,20,4,1,1860
729,20,4,2,1855
730,20,5,1,1940
731,20,5,2,2155
732,20,6,1,2210
733,20,6,2,2385
734,20,7,1,2740
735,20,7,2,2935
736,20,8,1,3200
737,20,8,2,3305
738,20,9,1,3950
739,20,9,2,4090
740,20,10,1,4210
741,20,10,2,4335
742,20,11,1,3855
743,20,11,2,4155
744,20,12,1,3795
745,20,12,2,3920
746,20,13,1,2750
747,20,13,2,2725
748,20,14,1,1765
749,20,14,2,1910
750,20,15,1,1125
751,20,15,2,1425
752,20,16,1,590
753,20,16,2,895
754,20,17,1,235
755,20,17,2,490
